job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Other,MB Bank,Hanoi,2026-06-02,,,,Full-time,Senior,3.1,"SQL, Power BI, Tableau, Python",itviec,True
Security Engineer,Trung tâm công nghệ thông tin MobiFone,Hanoi,2026-06-02,,,,Full-time,,0.8,"Cybersecurity, Kubernetes, Windows Server, Linux, Networking",itviec,True
Cloud Engineer,PVcomBank,Hanoi,2026-06-02,,,,Full-time,,3.1,"Windows Server, VMware",itviec,True
System/Network Admin,PVcomBank,Hanoi,2026-06-02,,,,Full-time,,3.1,Security,itviec,True
Game Developer,DTS Software Vietnam,Hanoi,2026-06-01,,,,Full-time,,,C++,itviec,True
DevOps/Infra Engineer,Zen8Labs,Hanoi,2026-06-01,,,,Full-time,,0.8,"DevOps, Python, Linux, Terraform, CI/CD, AWS",itviec,True
ERP/CRM Specialist,xboss,Ho Chi Minh City,2026-06-01,,,,Full-time,Manager+,0.8,"Project Management, Odoo, ERP",itviec,True
DevOps/Infra Engineer,TJ Tech,Hanoi,2026-06-01,,,,Full-time,Senior,3.1,"DevOps, CI/CD, Terraform, Linux, AWS",itviec,True
Backend Developer,Nakivo,Ho Chi Minh City,2026-06-01,,,,Full-time,Senior,3.1,"Java, OOP, Spring",itviec,True
Fullstack/Software Engineer,NGS,Hanoi,2026-06-01,,,,Full-time,,0.8,"Python, HTML, Kafka",itviec,True
Business Analyst,FPT Digital,Hanoi,2026-06-01,,,,Full-time,Intern,,"English, SQL",itviec,True
Backend Developer,Công Ty TNHH Stack Tech,Ho Chi Minh City,2026-06-01,,,,Full-time,Senior,3.1,"Go, AI, Kafka, NoSQL, Blockchain, SQL",itviec,True
DevOps/Infra Engineer,MB Bank,Hanoi,2026-06-01,,,,Full-time,,0.8,"CI/CD, Docker, DevOps, Oracle, SQL",itviec,True
