job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
IT Manager,Mekong Capital,Ho Chi Minh City,2026-05-11,,,,Full-time,Mid,5.0,"Agile, AI, Security, Cybersecurity, CRM",linkedin,True
IT Manager,Eastspring Investments,Ho Chi Minh City,2026-05-15,,,,Full-time,Mid,3.0,"Spring, Security, Cybersecurity",linkedin,True
System/Network Admin,FireGroup Technology,Ho Chi Minh City,2026-05-12,,,,Full-time,Mid,1.0,"Rust, DevOps, Agile, Linux, AI, Excel, Jira, Active Directory, VPN",linkedin,True
IT Support,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-05-11,,,,Full-time,Mid,1.0,"Windows Server, Active Directory",linkedin,True
System/Network Admin,VTI,Ho Chi Minh City,2026-05-14,,,,Full-time,Mid,1.0,"Scala, AWS, Security, PMP",linkedin,True
IT Manager,Aperia,Ho Chi Minh City,2026-04-18,,,,Full-time,Mid,,"Azure, Terraform, CI/CD, DevOps, Windows Server, REST, VMware, Networking, Security",linkedin,True
IT Support,Corsair,Ho Chi Minh City,2026-04-27,,,,Full-time,Junior,3.0,"Scala, React, Azure, Linux, Windows Server, Excel, Jira, ITIL, VMware, Networking, Firewall, VPN, Security",linkedin,True
System/Network Admin,CMC Technology & Solution (CMC TS),Other,2026-04-27,,,,Full-time,Mid,3.0,,linkedin,True
Frontend Developer,Getz Group,Other,2025-10-20,,,,Full-time,Mid,2.0,"Java, JavaScript, Scala, React, Angular, Vue, Agile, Scrum, REST, HTML, Excel",linkedin,True
Other,Emirates,Ho Chi Minh City,2026-05-16,,,,Full-time,Junior,,"Excel, Security",linkedin,True
QA/Tester,Getz Group,Other,2026-02-17,,,,Full-time,Mid,,"REST, iOS",linkedin,True
System/Network Admin,Công Ty CP Thiết Kế - Xây Dựng Kiến Trúc Việt,Ho Chi Minh City,2026-04-18,,,,Full-time,Mid,,,linkedin,True
System/Network Admin,Sapo Technology JSC,Ho Chi Minh City,2026-05-12,,,,Full-time,Mid,1.0,,linkedin,True
DevOps/Infra Engineer,Xspera,Other,2025-10-20,,,,Full-time,Mid,5.0,"Python, Perl, Azure, SQL, Excel, ITIL, Active Directory, Firewall, Security",linkedin,True
System/Network Admin,Công ty cổ phần Expro,Ho Chi Minh City,2026-04-18,,,,Full-time,Mid,2.0,,linkedin,True
IT Manager,Công Ty TNHH DV Và TM Mesa,Ho Chi Minh City,2026-04-18,,,,Full-time,Mid,,"SQL, MySQL, API",linkedin,True
