job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Backend Developer,ELCA,Ho Chi Minh City,2026-06-15,,,,Full-time,Senior,3.1,"Java, JavaScript, SQL, OOP",itviec,True
Mobile Developer,RONTECH,Ho Chi Minh City,2026-06-15,,,,Full-time,Senior,3.1,"Go, Java",itviec,True
QA/Tester,Capgemini Vietnam,Ho Chi Minh City,2026-06-15,,,,Full-time,Senior,0.8,"Automation Test, Java",itviec,True
AI/ML Engineer,"MONEY FORWARD VIETNAM CO.,LTD",Hanoi,2026-06-15,,,,Full-time,Senior,3.1,"Automation Test, AI, English",itviec,True
Product Manager/Owner,"MONEY FORWARD VIETNAM CO.,LTD",Hanoi,2026-06-15,,,,Full-time,Manager+,3.1,"English, Japanese",itviec,True
Business Analyst,ISOFH,Hanoi,2026-06-15,,,,Full-time,Fresher,0.8,"API, Figma, SQL",itviec,True
Other,MB Bank,Hanoi,2026-06-15,,,,Full-time,Fresher,3.1,"VBA, SQL",itviec,True
QA/Tester,Rexy Technology,Ho Chi Minh City,2026-06-14,,,,Full-time,Fresher,0.8,"API, Scrum, Agile",itviec,True
Mobile Developer,GoTymeX,Ho Chi Minh City,2026-06-14,,,,Full-time,Fresher,3.1,"Android, Kotlin",itviec,True
DevOps/Infra Engineer,SSTech,Ho Chi Minh City,2026-06-14,,,,Full-time,Senior,3.1,"Azure, English, Docker, Terraform, DevOps, CI/CD",itviec,True
AI/ML Engineer,MB Bank,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,"Matlab, Deep Learning, Machine Learning",itviec,True
Data Analyst,MB Bank,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,"Power BI, Tableau, SQL",itviec,True
Security Engineer,MB Bank,Hanoi,2026-06-14,,,,Full-time,Senior,3.1,Security,itviec,True
Database Administrator,LG CNS Việt Nam,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,AWS,itviec,True
Cloud Engineer,LG CNS Việt Nam,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,AWS,itviec,True
Cloud Engineer,Công ty Cổ phần Chứng khoán VPBank,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,"GCP, Azure, AWS",itviec,True
Project Manager,One Mount Group,Hanoi,2026-06-14,,,,Full-time,Manager+,5.1,"Agile, Project Management, ERP, CRM",itviec,True
Data Analyst,F88,Hanoi,2026-06-14,30000000.0,45000000.0,VND,Full-time,Senior,3.1,"SQL, Python, Tableau, Power BI",itviec,False
DevOps/Infra Engineer,Gradion,Ho Chi Minh City,2026-06-14,,,,Full-time,Senior,3.1,"Kubernetes, CI/CD, Python, GCP, AWS",itviec,True
Embedded Engineer,VEANIX Ltd,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,"Embedded, IoT",itviec,True
AI/ML Engineer,VEANIX Ltd,Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,AI,itviec,True
Cloud Engineer,MEGAZONE,Hanoi,2026-06-14,,,,Full-time,Senior,0.8,AWS,itviec,True
Project Manager,FPT IS,Hanoi,2026-06-14,,,,Full-time,Manager+,3.1,"English, Project Management",itviec,True
Security Engineer,"New Era Securities Co., Ltd",Hanoi,2026-06-14,,,,Full-time,Fresher,0.8,"Security, Firewall, Networking",itviec,True
Database Administrator,Indovina Bank,Ho Chi Minh City,2026-06-14,,,,Full-time,Manager+,3.1,"PostgreSQL, Unix, Linux, Oracle",itviec,True
Business Analyst,GiMASYS,Hanoi,2026-06-14,,,,Full-time,Fresher,3.1,,itviec,True
Other,Techcombank,Hanoi,2026-06-14,,,,Full-time,Senior,3.1,SQL,itviec,True
AI/ML Engineer,Techcombank,Hanoi,2026-06-14,,,,Full-time,Senior,3.1,"AI, AWS, PyTorch, Machine Learning, Python",itviec,True
Data Engineer,Techcombank,Hanoi,2026-06-14,,,,Full-time,Senior,3.1,"Agile, SQL, Microservices, Scala",itviec,True
Solution Architect,Techcombank,Hanoi,2026-06-14,,,,Full-time,Senior,3.1,"Agile, Java, DevOps",itviec,True
DevOps/Infra Engineer,Techcombank,Hanoi,2026-06-14,,,,Full-time,Senior,3.1,DevOps,itviec,True
Backend Developer,VietSwiss,Ho Chi Minh City,2026-06-14,,,,Full-time,Senior,0.8,"Next.js, PHP, Node.js, English",itviec,True
IT Manager,Motorola Solutions,Ho Chi Minh City,2026-06-14,,,,Full-time,Manager+,5.1,"Linux, Unix",itviec,True
Fullstack/Software Engineer,Motorola Solutions,Ho Chi Minh City,2026-06-13,,,,Full-time,Fresher,0.8,"Linux, English",itviec,True
Project Manager,ONE Tech Stop Vietnam Company Ltd,Da Nang,2026-06-13,,,,Full-time,Fresher,0.8,"Scrum, Agile, English",itviec,True
Other,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),Hanoi,2026-06-13,,,,Full-time,Fresher,3.1,"Cybersecurity, Security",itviec,True
DevOps/Infra Engineer,KMS Technology,Ho Chi Minh City,2026-06-13,,,,Full-time,Senior,3.1,"Terraform, AWS, DevOps, English",itviec,True
DevOps/Infra Engineer,NAB Innovation Centre Vietnam,Hanoi,2026-06-13,,,,Full-time,Senior,3.1,"DevOps, CI/CD, Terraform, Kubernetes, AWS",itviec,True
QA/Tester,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-06-13,,,,Full-time,Senior,3.1,,itviec,True
QA/Tester,Hitachi Digital Services,Ho Chi Minh City,2026-06-13,,,,Full-time,Senior,3.1,"Postman, English, Japanese",itviec,True
IT Support,Blogic Systems,Ho Chi Minh City,2026-06-13,,,,Full-time,Fresher,0.8,Networking,itviec,True
Fullstack/Software Engineer,Thien Hoang Solutions JSC,Hanoi,2026-06-13,,,,Full-time,Fresher,3.1,"Java, HTML, Spring Boot, Oracle, JavaScript, CSS",itviec,True
IT Manager,MYMIND,Ho Chi Minh City,2026-06-13,,,,Full-time,Fresher,5.1,,itviec,True
Data Engineer,Viettel Group,Hanoi,2026-06-13,,,,Full-time,Fresher,0.8,"Hadoop, Spark, SQL",itviec,True
Frontend Developer,CODE LEAP,Ho Chi Minh City,2026-06-13,,,,Full-time,Senior,3.1,"C#, Azure, English, React",itviec,True
Backend Developer,Gradion,Hanoi,2026-06-13,,,,Full-time,Senior,3.1,"PHP, English, NestJS, Node.js, Symfony",itviec,True
System/Network Admin,LG CNS Việt Nam,Hanoi,2026-06-13,,,,Full-time,Intern,0.8,,itviec,True
Business Analyst,Blue Technology,Hanoi,2026-06-13,,,,Full-time,Senior,3.1,"ERP, AI, Jira, Agile",itviec,True
DevOps/Infra Engineer,VIETTEL CUSTOMER SERVICE,Hanoi,2026-06-13,,,,Full-time,Fresher,0.8,"Security, CI/CD, Linux, AWS",itviec,True
Mobile Developer,Motorist Pte Ltd,Ho Chi Minh City,2026-06-13,,,,Full-time,Junior,,"Android, Java, OOP, Kotlin, English",itviec,True
