job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
IT Support,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-05-31,,,,Full-time,Mid,1.0,"Windows Server, Active Directory",linkedin,True
IT Manager,Olik Global,Ho Chi Minh City,2026-06-14,,,,Full-time,Mid,15.0,"Scala, CI/CD, Agile, AI, Excel, API, Security, Cybersecurity",linkedin,True
QA/Tester,Getz Group,Other,2026-02-21,,,,Full-time,Mid,,"REST, iOS",linkedin,True
DevOps/Infra Engineer,Xspera,Other,2025-09-24,,,,Full-time,Mid,5.0,"Python, Perl, Azure, SQL, Excel, ITIL, Active Directory, Firewall, Security",linkedin,True
System/Network Admin,Công Ty CP Thiết Kế - Xây Dựng Kiến Trúc Việt,Ho Chi Minh City,2026-04-22,,,,Full-time,Mid,,,linkedin,True
System/Network Admin,"SOTATEK., JSC",Hanoi,2026-06-19,,,,Internship,Mid,3.0,"SQL, MySQL, Linux, Windows Server, REST, iOS, Android, Active Directory, VMware, Networking, Firewall, Security",linkedin,True
System/Network Admin,UNIT Technology Corporation,Ho Chi Minh City,2026-06-07,,,,Full-time,Mid,4.0,"Windows Server, Adobe, Active Directory, Networking, Firewall",linkedin,True
System/Network Admin,Công ty cổ phần Expro,Ho Chi Minh City,2026-03-23,,,,Full-time,Mid,,,linkedin,True
System/Network Admin,SUNJIN VIỆT NAM,Other,2025-09-24,,,,Full-time,Mid,,Windows Server,linkedin,True
IT Manager,Công Ty TNHH DV Và TM Mesa,Ho Chi Minh City,2026-04-22,,,,Full-time,Mid,,"SQL, MySQL, API",linkedin,True
Other,Ricoh Vietnam,Ho Chi Minh City,2026-05-31,,,,Full-time,Manager+,3.0,"SQL, AI, Power BI, Excel, SAP, Security",linkedin,True
System/Network Admin,CMC Technology & Solution (CMC TS),Hanoi,2026-04-22,,,,Full-time,Mid,,Adobe,linkedin,True
System/Network Admin,Saigon Technology - Accelerate Software Development,Ho Chi Minh City,2026-06-14,,,,Full-time,Mid,3.0,"Python, Rust, Docker, AWS, Azure, Agile, Scrum, Linux, Windows Server, Active Directory, VMware, Security",linkedin,True
System/Network Admin,CNK Consulting Vietnam,Other,2026-01-22,,,,Full-time,Mid,,"Java, SQL, Windows Server, Firewall, VPN",linkedin,True
System/Network Admin,Topicus Vietnam,Ho Chi Minh City,2026-06-20,,,,Full-time,Junior,1.0,Perl,linkedin,True
Other,Reboot Monkey,Da Nang,2026-03-23,,,,Full-time,Junior,,"Linux, Excel, Networking, Firewall, Security",linkedin,True
Fullstack/Software Engineer,Olik Global,Ho Chi Minh City,2026-05-22,,,,Full-time,Mid,,"AI, API",linkedin,True
IT Manager,CNK Consulting Vietnam,Hanoi,2026-06-07,,,,Full-time,Mid,5.0,"Scala, AI",linkedin,True
