job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
Business Analyst,EMESOFT,Ho Chi Minh City,2026-05-18,,,,Full-time,Fresher,,English,itviec,True
QA/Tester,Hitachi Digital Services,Ho Chi Minh City,2026-05-18,,,,Full-time,Senior,,"Postman, English, Japanese",itviec,True
QA/Tester,EMESOFT,Ho Chi Minh City,2026-05-18,,,,Full-time,Senior,,"Scrum, Agile, Postman, Jira, SQL",itviec,True
Other,Be Group,Ho Chi Minh City,2026-05-18,,,,Full-time,Senior,,"Scrum, Project Management, Agile",itviec,True
Fullstack/Software Engineer,SHINHAN DS,Ho Chi Minh City,2026-05-18,,,,Full-time,Senior,,"Linux, Oracle, HTML5, SQL, JavaScript",itviec,True
IT Support,Công Ty TNHH CMMB Việt Nam,Hanoi,2026-05-18,,,,Full-time,Intern,,"Linux, API, CRM, AI",itviec,True
Business Analyst,AITS | Vietnam Airlines,Hanoi,2026-05-18,,,,Full-time,Junior,,English,itviec,True
AI/ML Engineer,Techcombank,Hanoi,2026-05-18,,,,Full-time,Senior,,"AI, Python, Databricks, LLM",itviec,True
DevOps/Infra Engineer,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-18,,,,Full-time,Senior,,"DevOps, English, AWS",itviec,True
Backend Developer,bbv Vietnam,Ho Chi Minh City,2026-05-18,,,,Full-time,Fresher,,"Java, Spring",itviec,True
QA/Tester,Evolus/PlanV,Ho Chi Minh City,2026-05-18,,,,Full-time,Fresher,,"Jira, English",itviec,True
AI/ML Engineer,OL Vietnam,Hanoi,2026-05-18,,,,Full-time,Fresher,,".NET, Java, AI, SQL, English",itviec,True
Fullstack/Software Engineer,Rakus Vietnam Company,Ho Chi Minh City,2026-05-18,,,,Full-time,Senior,,"PHP, PostgreSQL, JavaScript",itviec,True
Data Analyst,PVcomBank,Hanoi,2026-05-18,,,,Full-time,Senior,,"Power BI, SQL, Python",itviec,True
Solution Architect,PVcomBank,Hanoi,2026-05-18,,,,Full-time,Fresher,,"Java, Spring, SQL",itviec,True
Backend Developer,Be Group,Ho Chi Minh City,2026-05-17,,,,Full-time,Senior,,"Go, Node.js, CI/CD, PostgreSQL",itviec,True
Security Engineer,ITviec Recruitment Consulting,Hanoi,2026-05-17,,,,Full-time,Fresher,,"Cybersecurity, Security, Networking, English",itviec,True
DevOps/Infra Engineer,ITviec Recruitment Consulting,Hanoi,2026-05-17,,,,Full-time,Senior,,"Windows Server, English, Oracle, SQL, Linux",itviec,True
IT Manager,ITviec Recruitment Consulting,Hanoi,2026-05-17,,,,Full-time,Manager+,,"Cybersecurity, SQL, Python",itviec,True
Database Administrator,Cadena Vietnam,Ho Chi Minh City,2026-05-17,,,,Full-time,Fresher,,"MariaDB, PostgreSQL, SQL, English",itviec,True
Data Analyst,Công Ty Star Telecom (Unitel) - Trực Thuộc Tập Đoàn Công Nghiệp - Viễn Thông Quân Đội Viettel,Hanoi,2026-05-17,,,,Full-time,Fresher,,"Power BI, SQL",itviec,True
Project Manager,ISV Vietnam,Ho Chi Minh City,2026-05-17,,,,Full-time,Manager+,,"JavaScript, Java, Japanese, .NET, PHP, SQL",itviec,True
Fullstack/Software Engineer,SoftRoad Việt Nam,Hanoi,2026-05-17,,,,Full-time,Manager+,,"Oracle, SQL",itviec,True
Backend Developer,CUBIC Architects - CÔNG TY CỔ PHẦN KIẾN TRÚC LẬP PHƯƠNG,Hanoi,2026-05-17,,,,Full-time,Fresher,,"C#, English, OOP, .NET",itviec,True
Database Administrator,Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),Hanoi,2026-05-17,,,,Full-time,Fresher,,"Oracle, Python, SQL, PostgreSQL",itviec,True
AI/ML Engineer,"MONEY FORWARD VIETNAM CO.,LTD",Hanoi,2026-05-17,,,,Full-time,Manager+,,"Japanese, Scrum, AI, English",itviec,True
Security Engineer,MK Group,Hanoi,2026-05-17,,,,Full-time,Fresher,,API,itviec,True
AI/ML Engineer,Flexspace Technologies Inc.,Ho Chi Minh City,2026-05-17,,,,Full-time,Intern,,"AI, English",itviec,True
Project Manager,ITviec Recruitment Consulting,Hanoi,2026-05-17,,,,Full-time,Senior,,"Project Management, Agile, Japanese",itviec,True
Project Manager,Cloud Ace,Hanoi,2026-05-17,,,,Full-time,Manager+,,"Project Management, Scrum, English",itviec,True
Backend Developer,One Mount Group,Hanoi,2026-05-17,,,,Full-time,Senior,,"Java, Spring Boot, Spring",itviec,True
UI/UX Designer,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-17,,,,Full-time,Fresher,,"React, Java, Microservices, .NET, Node.js",itviec,True
Fullstack/Software Engineer,CÔNG TY TNHH CÔNG NGHỆ VÀ THƯƠNG MẠI ÁNH DƯƠNG,Hanoi,2026-05-17,,,,Full-time,Fresher,,"Cybersecurity, Networking, Security",itviec,True
System/Network Admin,"Southern Technology Development Company, Ltd",Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,Project Management,itviec,True
Cloud Engineer,One Mount Group,Hanoi,2026-05-16,,,,Full-time,Senior,,"CI/CD, Docker, Windows Server, Linux",itviec,True
Backend Developer,NAVER VIETNAM,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"Java, Kubernetes, Microservices, Spring",itviec,True
AI/ML Engineer,SSTech,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"Power BI, English, Sharepoint",itviec,True
Backend Developer,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"Java, Spring Boot, Microservices, English",itviec,True
Embedded Engineer,LG Electronics Development Vietnam (LGEDV),Hanoi,2026-05-16,,,,Full-time,Fresher,,"Agile, Embedded, Python",itviec,True
Project Manager,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-16,,,,Full-time,Manager+,,"Project Management, English",itviec,True
Database Administrator,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"PostgreSQL, Oracle",itviec,True
AI/ML Engineer,VNEXT SOFTWARE,Da Nang,2026-05-16,,,,Full-time,Senior,,"AI, Python, Computer Vision, Deep Learning, Machine Learning",itviec,True
Solution Architect,ITviec Recruitment Consulting,Ho Chi Minh City,2026-05-16,,,,Full-time,Manager+,,"Java, Kafka, API, Spring Boot, AI, CI/CD",itviec,True
Fullstack/Software Engineer,NAB Innovation Centre Vietnam,Hanoi,2026-05-16,,,,Full-time,Senior,,Python,itviec,True
Fullstack/Software Engineer,CÔNG TY TNHH VANFU SOFTWARE VIỆT NAM,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"PHP, SQL, Git, React, JavaScript, Python",itviec,True
Fullstack/Software Engineer,Ewoosoft Vietnam,Hanoi,2026-05-16,50000000.0,50000000.0,VND,Full-time,Fresher,,"OOP, C++",itviec,False
AI/ML Engineer,PAPAYA INSURTECH,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"LLM, TypeScript",itviec,True
Fullstack/Software Engineer,The One Digi Corp,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"PHP, .NET, Node.js, Python",itviec,True
Fullstack/Software Engineer,LG Electronics Development Vietnam (LGEDV),Hanoi,2026-05-16,,,,Full-time,Senior,,"HTML5, SQL, Agile, English",itviec,True
Backend Developer,Parcel Perform,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"Python, Kafka, Django",itviec,True
DevOps/Infra Engineer,OL Vietnam,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"DevOps, AI, Terraform, Kubernetes, Docker, AWS",itviec,True
AI/ML Engineer,URBOX,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"AI, Machine Learning, PostgreSQL, LLM, Python",itviec,True
AI/ML Engineer,METUB Việt Nam,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"AI, TypeScript, Python",itviec,True
Data Analyst,METUB Việt Nam,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"Python, SQL",itviec,True
Other,MB Bank,Hanoi,2026-05-16,,,,Full-time,Senior,,"SQL, Power BI, Tableau, Python",itviec,True
Project Manager,MTI TECHNOLOGY,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"Scrum, Agile",itviec,True
QA/Tester,MTI TECHNOLOGY,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,Automation Test,itviec,True
Data Engineer,Mcredit - Công ty Tài chính TNHH MB Shinsei,Hanoi,2026-05-16,,,,Full-time,Senior,,"AWS, Oracle, SQL",itviec,True
Business Analyst,Hitachi Digital Services,Ho Chi Minh City,2026-05-16,,,,Full-time,Fresher,,"English, Agile, Scrum",itviec,True
QA/Tester,NAB Innovation Centre Vietnam,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,,itviec,True
Data Engineer,One Mount Group,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,Python,itviec,True
Data Engineer,NAB Innovation Centre Vietnam,Hanoi,2026-05-16,,,,Full-time,Senior,,"SQL, Databricks, NoSQL, Python",itviec,True
ERP/CRM Specialist,Simpson Strong-Tie Vietnam,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"Salesforce, JavaScript, AWS, English, AI",itviec,True
QA/Tester,Saigon Technology,Da Nang,2026-05-16,,,,Full-time,Mid,,"API, English",itviec,True
Solution Architect,FPT Digital,Hanoi,2026-05-16,,,,Full-time,Fresher,,"ERP, AWS, GCP, Azure",itviec,True
Backend Developer,ELCA,Ho Chi Minh City,2026-05-16,,,,Full-time,Senior,,"Angular, C#, ASP.NET, English",itviec,True
Mobile Developer,MEGAZONE,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Android, Figma, Kotlin",itviec,True
QA/Tester,"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh City,2026-05-15,,,,Full-time,Senior,,"Automation Test, English, CI/CD, AI",itviec,True
Project Manager,Capgemini Vietnam,Ho Chi Minh City,2026-05-15,,,,Full-time,Senior,,"Project Management, Scrum, Agile, English",itviec,True
QA/Tester,GemCommerce,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Automation Test, Agile, API, SQL",itviec,True
Mobile Developer,Ingenico Vietnam,Hanoi,2026-05-15,,75000000.0,VND,Full-time,Senior,,"Android, Python, English, Kotlin, Java",itviec,False
Security Engineer,Trung tâm công nghệ thông tin MobiFone,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Cybersecurity, Kubernetes, Windows Server, Linux, Networking",itviec,True
Fullstack/Software Engineer,"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh City,2026-05-15,,,,Full-time,Senior,,"Go, English, AI, Kotlin, TypeScript, Java",itviec,True
QA/Tester,ONE Tech Stop Vietnam Company Ltd,Ho Chi Minh City,2026-05-15,,,,Full-time,Fresher,,"Scrum, Salesforce, Agile, English",itviec,True
ERP/CRM Specialist,ITviec Recruitment Consulting,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Java, PostgreSQL, MySQL, Spring Boot, Python",itviec,True
Fullstack/Software Engineer,ITviec Recruitment Consulting,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Java, API, SQL, Spring Boot, JavaScript",itviec,True
Solution Architect,ABBANK,Hanoi,2026-05-15,,,,Full-time,Manager+,,,itviec,True
IT Manager,ABBANK,Hanoi,2026-05-15,,,,Full-time,Manager+,,"Adobe, Sketch, Figma",itviec,True
Business Analyst,ABBANK,Hanoi,2026-05-15,,,,Full-time,Fresher,,Jira,itviec,True
Embedded Engineer,FUJIFILM Business Innovation Việt Nam,Ho Chi Minh City,2026-05-15,,,,Full-time,Fresher,,"Embedded, Linux, C++",itviec,True
DevOps/Infra Engineer,ABBANK,Hanoi,2026-05-15,,,,Full-time,Manager+,,"Security, DevOps",itviec,True
Other,ABBANK,Hanoi,2026-05-15,,,,Full-time,Senior,,English,itviec,True
QA/Tester,ABBANK,Hanoi,2026-05-15,,,,Full-time,Fresher,,Automation Test,itviec,True
System/Network Admin,ABBANK,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Unix, Linux, Microservices",itviec,True
Data Engineer,ABBANK,Hanoi,2026-05-15,,,,Full-time,Fresher,,"CI/CD, Oracle, SQL",itviec,True
AI/ML Engineer,ABBANK,Hanoi,2026-05-15,,,,Full-time,Fresher,,"AI, Docker, Microservices, Python",itviec,True
QA/Tester,Pizza Hut Digital & Technology,Ho Chi Minh City,2026-05-15,,,,Full-time,Senior,,"English, Automation Test",itviec,True
Cloud Engineer,SVTIN,Hanoi,2026-05-15,,,,Full-time,Fresher,,"VMware, Linux",itviec,True
Security Engineer,SVTIN,Hanoi,2026-05-15,,,,Full-time,Intern,,"Networking, Firewall, Security",itviec,True
DevOps/Infra Engineer,SVTIN,Hanoi,2026-05-15,,,,Full-time,Fresher,,"Linux, Windows Server, VMware",itviec,True
DevOps/Infra Engineer,M_Service (MoMo),Ho Chi Minh City,2026-05-15,,,,Full-time,Fresher,,"CI/CD, Python, AWS, Docker, Kubernetes",itviec,True
IT Manager,NGÂN HÀNG THƯƠNG MẠI TNHH MTV KỶ NGUYÊN THỊNH VƯỢNG (GPBANK),Hanoi,2026-05-15,,,,Full-time,Fresher,,"Security, Cybersecurity",itviec,True
Data Engineer,PVcomBank,Hanoi,2026-05-15,,,,Full-time,Senior,,,itviec,True
UI/UX Designer,Simpson Strong-Tie Vietnam,Ho Chi Minh City,2026-05-15,,,,Full-time,Senior,,"React, Figma, AI, TypeScript, Next.js",itviec,True
