job_title,company_name,location,posted_date,salary_min,salary_max,salary_currency,job_type,job_level,experience_required,skills,source,salary_missing
IT Support,CMC Technology & Solution (CMC TS),Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,2.0,"Windows Server, Active Directory",linkedin,True
System/Network Admin,Aperia,Ho Chi Minh City,2026-05-06,,,,Full-time,Senior,,"Scala, AWS, Azure, Linux, Unix, Windows Server, REST, Salesforce, ServiceNow, ITIL, VMware, Hyper-V, Firewall, VPN, Security",linkedin,True
Fullstack/Software Engineer,The Value Maximizer,Ho Chi Minh City,2026-03-09,,,,Full-time,Mid,6.0,"AI, API",linkedin,True
System/Network Admin,CNK Consulting Vietnam,Other,2026-02-07,17500000.0,25000000.0,VND,Full-time,Mid,2.0,"Java, SQL, Windows Server, Firewall, VPN",linkedin,False
Other,BE GROUP,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,5.0,"Scala, AWS, Azure, Ansible, Linux, REST, ITIL, VMware, Hyper-V, Firewall, VPN, Security",linkedin,True
Other,GoTymeX,Ho Chi Minh City,2026-05-06,,,,Full-time,Intern,,"Agile, AI, Jira, Confluence, ITIL",linkedin,True
System/Network Admin,Công Ty Cổ Phần Bảo Chánh,Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,,,linkedin,True
Other,SCG,Ho Chi Minh City,2025-07-12,,,,Full-time,Junior,,"AI, Excel, Security, Cybersecurity",linkedin,True
Other,Jabil,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,,"Python, Scala, SQL, Power BI, Excel, Jira, ServiceNow, ITIL, ERP",linkedin,True
Other,GMO-Z.com RUNSYSTEM JSC.,Da Nang,2025-09-10,,,,Full-time,Mid,1.0,".NET, Unix, VPN",linkedin,True
DevOps/Infra Engineer,VINASEED,Hanoi,2026-04-24,,,,Full-time,Mid,3.0,"Linux, AI, Firewall, VPN",linkedin,True
Fullstack/Software Engineer,Rapid Systemz,Da Nang,2026-01-08,,,,Full-time,Mid,,"Adobe, VPN",linkedin,True
IT Manager,Jabil,Ho Chi Minh City,2026-04-08,,,,Full-time,Mid,5.0,"Windows Server, Excel, Active Directory, Firewall, Security",linkedin,True
Other,NMS,Hanoi,1 year ago,,,,Full-time,Mid,1.0,,linkedin,True
IT Manager,CNK Consulting Vietnam,Hanoi,2026-04-08,,,,Full-time,Mid,7.0,"Security, Cybersecurity, ERP, Project Management",linkedin,True
Data Analyst,Tuyển Dụng 247,Ho Chi Minh City,2026-04-24,,,,Full-time,Mid,,"Power BI, Excel",linkedin,True
System/Network Admin,Thien Long Group Official,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,3.0,"Firewall, VPN, Security",linkedin,True
DevOps/Infra Engineer,HPT Vietnam Corporation,Ho Chi Minh City,2025-08-11,,,,Full-time,Mid,2.0,"VMware, Security",linkedin,True
Cloud Engineer,Google,Other,2026-04-24,,,,Full-time,Mid,6.0,"Rust, Scala, GCP, AI, Security",linkedin,True
Business Analyst,"KMS Technology, Inc.",Ho Chi Minh City,2026-04-24,,,,Full-time,Manager+,2.0,"Rust, AI, Excel, Jira, API",linkedin,True
Other,AGAPI,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,5.0,"Rust, Scala, Excel, Jira, Confluence, Security, Project Management",linkedin,True
Consultant,Jura Global Consulting,Ho Chi Minh City,2026-05-07,,,,Full-time,Senior,4.0,"Python, Java, Scala, React, Next.js, Spring, Spring Boot, .NET, AWS, PostgreSQL, CI/CD, AI, API",linkedin,True
System/Network Admin,Hallmark Cards Asia,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,,"AWS, SQL, Windows Server, REST, Excel, SAP, ServiceNow, ITIL, VMware, Firewall, VPN, Security, ERP, PMP",linkedin,True
IT Manager,FPT Corporation,Hanoi,2026-04-24,,,,Full-time,Manager+,,"Scala, Excel",linkedin,True
IT Support,Excis Compliance,Ho Chi Minh City,2026-05-03,,,,Full-time,Mid,,"Scala, REST, Excel",linkedin,True
System/Network Admin,HCLTech Vietnam,Other,2026-04-24,,,,Full-time,Mid,2.0,"Scala, REST, SAP, ITIL, Security",linkedin,True
QA/Tester,VTI,Hanoi,2026-05-01,,,,Full-time,Mid,5.0,"AWS, ERP, PMP",linkedin,True
System/Network Admin,Golden Gate Restaurant Group Careers,Hanoi,2026-04-08,,,,Full-time,Mid,,Linux,linkedin,True
System/Network Admin,Boyd,Other,2026-05-01,,,,Full-time,Mid,4.0,Security,linkedin,True
Other,Kiaisoft株式会社,Da Nang,2026-05-06,,,,Full-time,Mid,1.0,"Agile, Scrum",linkedin,True
Fullstack/Software Engineer,Paymentology,Ho Chi Minh City,2026-05-07,,,,Full-time,Mid,4.0,"Scala, SQL, DevOps, REST",linkedin,True
Data Analyst,Callaway Golf,Ho Chi Minh City,2026-04-24,,,,Full-time,Junior,2.0,"Python, Azure, SQL, Power BI, Excel, SAP, ERP, Project Management",linkedin,True
DevOps/Infra Engineer,CODE88 Company Limited,Ho Chi Minh City,2026-05-08,,,,Full-time,Junior,1.0,"Docker, Kubernetes, AWS, DevOps, Linux, Windows Server, Excel, ITIL, Active Directory",linkedin,True
DevOps/Infra Engineer,Endava,Ho Chi Minh City,2026-05-01,,,,Full-time,Mid,,"Python, Scala, Docker, Kubernetes, Git, CI/CD, Linux, REST, Networking, Firewall",linkedin,True
IT Support,Multinational Company,Ho Chi Minh City,2026-05-06,,,,Contract,Mid,,"Scala, ITIL, Active Directory, VPN, Security",linkedin,True
System/Network Admin,Career Today,Ho Chi Minh City,2026-05-07,,,,Full-time,Junior,5.0,"Linux, Excel, Security",linkedin,True
Other,Acclime,Hanoi,2026-05-01,,,,Full-time,Mid,4.0,"Rust, Scala, Agile, Scrum, Excel, ERP, Project Management, PMP",linkedin,True
IT Support,AnsibleHealth,Other,2026-01-08,,,,Full-time,Mid,5.0,"Scala, Azure, Ansible, DevOps, Excel, Android, Security",linkedin,True
System/Network Admin,Fujifilm Vietnam,Hanoi,2026-05-07,,,,Full-time,Junior,2.0,"Scala, Excel, Security",linkedin,True
Other,Blue Sapphire Company Limited,Other,2026-05-06,,,,Full-time,Junior,,,linkedin,True
System/Network Admin,CMC Global Company Limited.,Hanoi,2026-02-07,,,,Full-time,Mid,3.0,"Linux, Networking",linkedin,True
Business Analyst,Viettel Group,Hanoi,2026-04-24,,,,Internship,Intern,,Excel,linkedin,True
IT Support,Công ty TNHH TMDV và PTTT Tân Phát,Hanoi,2026-04-17,,,,Full-time,Mid,1.0,"Go, Swift, REST, Android, Firewall",linkedin,True
