job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
Middle Product Owner (Agile/ Scrum/ Jira),Công ty TNHH Công nghệ và Truyền thông Thiên Khôi,,Hanoi,,,VND,,"['Product Owner', 'Jira', 'Scrum', 'Agile']",On-site,Middle,2026-05-28,,,,itviec
Security Engineer - Application Security,TIKI,,Ho Chi Minh City,,,VND,,"['Application Security', 'CI/CD', 'Cloud Security', 'Python', 'OWASP', 'Penetration Testing']",On-site,,2026-05-28,,,,itviec
Chuyên Gia Quản Trị Cơ Sở Dữ Liệu (DBA),Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),,Hanoi,,,VND,,"['Oracle', 'Python', 'SQL', 'PostgreSql', 'Database']",On-site,,2026-05-28,,,,itviec
Business Analyst (Phân hệ kế toán - ERP),xboss,,Ho Chi Minh City,,,VND,,"['Business Analysis', 'Oracle', 'SAP', 'ERP', 'Odoo']",On-site,,2026-05-28,,,,itviec
Junior Business Analyst-Chuyên viên Phân tích nghiệp vụ,AITS | Vietnam Airlines,,Hanoi,,,VND,,"['Business Analysis', 'English']",On-site,Junior,2026-05-28,,,,itviec
"Expert/ Senior Officer, AI Engineer",Techcombank,,Hanoi,,,VND,,"['AI', 'Databricks', 'Cloud', 'LLM', 'Python', 'Big Data']",On-site,Senior,2026-05-28,,,,itviec
Automation Tester,Smilegate Vietnam,,Ho Chi Minh City,,,VND,,"['Automation Test', 'Playwright', 'Scrum', 'Selenium', 'Appium', 'Agile']",On-site,,2026-05-27,,,Budget for individual learning & development; 14+ leave days/year; premium health insurance; Dynamic and open working environment,itviec
IT Support,Spiraledge,,Ho Chi Minh City,,,VND,,"['IT Support', 'Linux', 'Windows', 'AI']",On-site,Fresher,2026-05-27,,,,itviec
"Technical Leader/ Technical Architect (.NET, Japanese)",NEC Vietnam,,Ho Chi Minh City,,,VND,,"['.NET', 'ReactJS', 'CI/CD', 'ASP.NET', 'Japanese', '.Net Core']",Hybrid,,2026-05-27,,,13th Salary + Excellent Bonus; Foreign Language Allowance (Up to 500USD/month); 19 days of paid leave + Premium Health Insurance,itviec
"Remote Fullstack Developer (Python/VueJS, TypeScript)",My Audit Corner,,"Ho Chi Minh City, Hanoi, Da Nang",,,VND,,"['Fullstack', 'FastAPI', 'English', 'TypeScript', 'VueJS', 'Python']",Remote,,2026-05-27,,,"100% Remote & Flexible; Join an agile, ambitious, and tech-driven team; 15 days of paid time off per year",itviec
Embedded Software Architecture Engineer,Hella Vietnam,,Ho Chi Minh City,,,VND,,"['Embedded', 'Embedded C', 'Software Architecture', 'AUTOSAR']",On-site,,2026-05-27,,,"Friendly working environment,; Competitive Salary; Training abroad opportunities",itviec
Senior Data & Business Intelligence Professional,CÔNG TY CỔ PHẦN CHỨNG KHOÁN KAFI,,Ho Chi Minh City,,,VND,,"['Data Analysis', 'Business Intelligence', 'Power BI', 'Oracle', 'PostgreSql', 'SQL']",On-site,Senior,2026-05-27,,,,itviec
Technical Project Manager (Embedded Automotive),Hella Vietnam,,Ho Chi Minh City,,,VND,,"['Embedded', 'Project Management']",On-site,Manager,2026-05-27,,,"Friendly working environment,; Competitive Salary; Training abroad opportunities",itviec
"Software Tester (QA QC, SQL)",Gene Solutions,,Ho Chi Minh City,,,VND,,"['QA QC', 'API', 'Postman', 'SQL', 'Tester']",On-site,,2026-05-27,,,,itviec
"DevOps Engineer (AWS Cloud, Linux/Unix)",Mynavi TechTus Vietnam,,Da Nang,,,VND,,"['DevOps', 'Terraform', 'Linux', 'Kubernetes', 'AWS', 'Cloud']",On-site,,2026-05-27,,,"Salary review twice/year & performance bonus; Sponsored certs, training, clear career path; 20 annual leaves per year; Flexible working hours",itviec
Tech Architecture & Solutions,National Citizen Bank | NCB,,Hanoi,,,VND,,"['Solution Architecture', 'Database', 'Cloud', 'Docker', 'Microservices', 'Monolithic Architecture']",On-site,,2026-05-27,,,"Thu nhập cạnh tranh trên thị trường; Làm việc với các dự án trọng điểm; Đội ngũ lãnh đạo giàu chuyên môn, truyền cảm hứng",itviec
"Frontend Developer (Vuex, HTML, Pinia)",CubiCasa,,Ho Chi Minh City,,,VND,,"['Pinia', 'English', 'Git', 'VueJS', 'Vuex', 'Design']",Hybrid,Fresher,2026-05-27,,,"Onsite opportunities: Palo Alto,California,Finland; Working & growing with Passionate & Talented Team; Attractive Income",itviec
Senior Full-stack Ruby Developer,CodeLink,,"Ho Chi Minh City, Hanoi, Da Nang",,,VND,,"['Ruby on Rails', 'AI', 'Security', 'React Native', 'ReactJS', 'Python']",Hybrid,Senior,2026-05-27,,,,itviec
Chuyên Viên QC Phần Mềm (QC Executive),Kingfoodmart,,Ho Chi Minh City,,,VND,,"['QA QC', 'Automation Test', 'Tester']",On-site,,2026-05-27,,,,itviec
Trưởng phòng CNTT (IT Manager),"Southern Technology Development Company, Ltd",,Ho Chi Minh City,,,VND,,"['Team Management', 'SAP', 'Oracle', 'Database', 'Juniper', 'Cisco']",On-site,Manager,2026-05-27,,,,itviec
Frontend Engineer (Vue.js & Design Focus),CubiCasa,,Ho Chi Minh City,,,VND,,"['VueJS', 'HTML5', 'TypeScript', 'UI-UX', 'Product Design']",Hybrid,,2026-05-27,,,"Onsite opportunities: Palo Alto,California,Finland; Working & growing with Passionate & Talented Team; Attractive Income",itviec
Solution Architect,Dirox,,Ho Chi Minh City,,,VND,,"['Solution Architecture', 'AWS', 'DevOps', 'DevSecOps', 'Domain-Driven Design', 'System Architecture']",Hybrid,,2026-05-27,,,"Be a DIGITAL SHERPA, Not Just a Coder; Grow via INSIGHTS, STUDIO, CARE & LABS; WE are FAMILY and we MEAN it!",itviec
Fresher C++ Developer,DTS Software Vietnam,,Hanoi,,,VND,,"['C++', 'Unity', 'C#', 'Windows']",On-site,Fresher,2026-05-27,,,,itviec
"[Mid-Senior] Game Developer (Unity, C#)",Athena Studio,,Ho Chi Minh City,,,VND,,"['Unity', 'Agile', 'English', 'AI', 'Games', 'C#']",On-site,Senior,2026-05-27,,,"MacBook Pro/Extra screens & Remote Work policy; Premium health insurance package for you, relative; Company Trip 4-5*, Yoga, Gym/Fitness/English club",itviec
Site Reliability Engineer (Docker/ Kubernetes/ Python),One Mount Group,,"Ho Chi Minh City, Hanoi",,,VND,,"['Docker', 'Nginx', 'NodeJS', 'JavaScript', 'Python', 'Kubernetes']",On-site,,2026-05-27,,,"Môi trường đẩy nhanh phát triển năng lực; Nơi quy tụ nhân tài người Việt trên toàn cầu; Văn hóa thành công, đề cao sáng kiến",itviec
Machine Learning/AI Engineer (English),Chotot,,Ho Chi Minh City,,,VND,,"['Machine Learning', 'English', 'Cloud', 'SQL', 'Python', 'AI']",On-site,,2026-05-27,,,22 days of leave per year; Apply AI in daily work; Premium healthcare,itviec
