job_title,company_name,company_size,location,salary_min,salary_max,salary_currency,experience_required,skills,job_type,job_level,posted_date,deadline,job_description,benefits,source
IT Business Analyst Presales (BA Presales),EMESOFT,,Ho Chi Minh City,,,VND,,"['Business Analysis', 'Generative AI', 'Technology Roadmapping', 'Technical Writing', 'English', 'Presale']",On-site,,2026-05-18,,,"100% Salary during Probation period; 13th-month salary, performance bonus quartly; Healthcare Premium PVI",itviec
Senior Japanese Speaking Test Engineer (N2/N1/Tester),Hitachi Digital Services,,Ho Chi Minh City,,,VND,,"['Tester', 'Unit test', 'Jmeter', 'Postman', 'English', 'Japanese']",On-site,Senior,2026-05-18,,,,itviec
Quality Control Engineer (Senior/Lead),EMESOFT,,Ho Chi Minh City,,,VND,,"['Tester', 'Scrum', 'Agile', 'Postman', 'Jira', 'SQL']",On-site,Senior,2026-05-18,,,"100% Salary during Probation period; 13th-month salary, performance bonus quartly; Healthcare Premium PVI",itviec
Senior Technical Project Management,Be Group,,Ho Chi Minh City,,,VND,,"['Scrum', 'Data-driven', 'Project Management', 'Software Architecture', 'Agile']",On-site,Senior,2026-05-18,,,,itviec
"Mid/Sr Software Developer (C, SQL, JavaScript, HTML5)",SHINHAN DS,,Ho Chi Minh City,,,VND,,"['C language', 'Linux', 'Oracle', 'HTML5', 'SQL', 'JavaScript']",On-site,Senior,2026-05-18,,,,itviec
Software & System Support Engineer,Công Ty TNHH CMMB Việt Nam,,Hanoi,,,VND,,"['System Admin', 'Linux', 'API', 'Cloud', 'CRM', 'AI']",On-site,Fresher,2026-05-18,,,"Môi trường sáng tạo và năng động; Thưởng nóng, thưởng quý, thưởng lương tháng 13; Lộ trình thăng tiến rõ ràng, review 6 tháng / lần",itviec
Junior Business Analyst-Chuyên viên Phân tích nghiệp vụ,AITS | Vietnam Airlines,,Hanoi,,,VND,,"['Business Analysis', 'English']",On-site,Junior,2026-05-18,,,,itviec
"Expert/ Senior Officer, AI Engineer",Techcombank,,Hanoi,,,VND,,"['AI', 'Python', 'Big Data', 'Databricks', 'Cloud', 'LLM']",On-site,Senior,2026-05-18,,,,itviec
Senior Site Reliability Engineer,NAB Innovation Centre Vietnam,,Ho Chi Minh City,,,VND,,"['DevOps', 'English', 'Cloud', 'AWS']",Hybrid,Senior,2026-05-18,,,Very competitive remuneration package; Build products for millions of users in Australia; Hybrid and flexible working environment,itviec
"Java Developer (Java 17+, Spring Boot)",bbv Vietnam,,Ho Chi Minh City,,,VND,,"['Java', 'Spring', 'J2EE']",Hybrid,,2026-05-18,,,Full insurance coverage based on NET salary.; 13th-month salary (paid semi-annually).; 50% annual loyalty bonus (from the 2nd year).,itviec
